,Player,From,To,Pos,Ht,Wt,Birth Date,Colleges,Player-additional
1198,Jared Dudley,2008,2021,F-G,6-6,237.0,July 10 1985,Boston College,dudleja01
1199,Terry Duerod,1980,1983,G,6-2,180.0,July 29 1956,Detroit Mercy,duerote01
1200,Bob Duffy,1947,1947,F,6-4,175.0,July 5 1922,Tulane,duffybo01
1201,Bob Duffy,1963,1965,G,6-3,185.0,September 26 1940,Colgate,duffybo02
1202,Chris Duhon,2005,2013,G,6-1,185.0,August 31 1982,Duke,duhonch01
1203,Duje Dukan,2016,2016,F,6-9,220.0,December 4 1991,Wisconsin,dukandu01
1204,David Duke Jr.,2022,2023,G,6-5,205.0,October 13 1999,Providence,dukeda01
1205,Walter Dukes,1956,1963,C,7-0,220.0,June 23 1930,Seton Hall,dukeswa01
1206,Joe Dumars,1986,1999,G,6-3,190.0,May 24 1963,McNeese State University,dumarjo01
1207,Rich Dumas,1969,1969,G,6-3,170.0,April 21 1944,Northeastern State University,dumasri01
1208,Richard Dumas,1993,1996,F,6-7,200.0,May 19 1969,Oklahoma State,dumasri02
1209,Tony Dumas,1995,1998,G,6-6,190.0,August 25 1972,Missouri-Kansas City,dumasto01
1210,Andy Duncan,1949,1951,F-C,6-6,195.0,April 17 1922,William & Mary,duncaan01
1211,Tim Duncan,1998,2016,F-C,6-11,250.0,April 25 1976,Wake Forest,duncati01
1212,Mike Dunleavy,1977,1990,G,6-3,180.0,March 21 1954,South Carolina,dunlemi01
1213,Mike Dunleavy,2003,2017,F-G,6-9,230.0,September 15 1980,Duke,dunlemi02
1214,Kris Dunn,2017,2022,G,6-3,205.0,March 18 1994,Providence,dunnkr01
1215,Pat Dunn,1958,1958,G,6-2,170.0,March 17 1931,Utah State University,dunnpa01
1216,T.R. Dunn,1978,1991,G-F,6-4,192.0,February 1 1955,Alabama,dunntr01
1217,Ronald Dupree,2004,2011,F,6-7,209.0,January 26 1981,LSU,duprero01
1218,Kevin Durant,2008,2023,F-G,6-10,240.0,September 29 1988,Texas,duranke01
1219,Jalen Duren,2023,2023,C,6-10,250.0,November 18 2003,Memphis,durenja01
1220,John Duren,1981,1983,G,6-3,195.0,October 30 1958,Georgetown,durenjo01
1221,Jarrett Durham,1972,1972,F,6-5,188.0,August 22 1949,Duquesne,durhaja01
1222,Pat Durham,1993,1995,F,6-7,210.0,March 10 1967,Colorado State,durhapa01
1223,Devin Durrant,1985,1986,F,6-7,200.0,October 20 1960,BYU,durrade01
1224,Ken Durrett,1972,1975,F,6-7,190.0,December 8 1948,La Salle,durreke01
1225,Trevon Duval,2019,2019,G,6-2,189.0,August 3 1998,Duke,duvaltr01
1226,Jack Dwan,1949,1949,F-G,6-4,200.0,May 3 1921,Loyola Chicago,dwanja01
1227,Craig Dykema,1982,1982,F,6-8,190.0,June 11 1959,Cal State Long Beach,dykemcr01
1228,Gene Dyker,1954,1954,F,6-6,225.0,February 17 1930,DePaul,dykerge01
1229,Jerome Dyson,2012,2012,G,6-3,180.0,May 1 1987,UConn,dysonje01
1230,Ledell Eackles,1989,1998,G-F,6-5,220.0,November 24 1966,New Orleans,eacklle01
1231,Jim Eakins,1969,1978,C,6-11,215.0,May 24 1946,BYU,eakinji01
1232,Acie Earl,1994,1997,F-C,6-10,240.0,June 23 1970,Iowa,earlac01
1233,Ed Earle,1954,1954,F,6-3,190.0,April 28 1927,Loyola Chicago,earleed01
1234,Cleanthony Early,2015,2016,F,6-8,210.0,April 17 1991,Wichita State,earlycl01
1235,Penny Early,1969,1969,G,5-3,114.0,May 30 1943,,earlype01
1236,Tari Eason,2023,2023,F,6-8,216.0,May 10 2001,Cincinnati LSU,easonta01
1237,Mark Eaton,1983,1993,C,7-4,275.0,January 24 1957,UCLA,eatonma01
1238,Jerry Eaves,1983,1987,G,6-4,180.0,February 8 1959,Louisville,eavesje01
1239,Devin Ebanks,2011,2013,F,6-9,215.0,October 28 1989,West Virginia,ebankde01
1240,Bill Ebben,1958,1958,G,6-4,190.0,October 7 1935,Detroit Mercy,ebbenbi01
1241,Al Eberhard,1975,1978,F,6-6,225.0,May 10 1952,Missouri,eberhal01
1242,Ndudi Ebi,2004,2005,F,6-9,200.0,June 18 1984,,ebind01
1243,Roy Ebron,1974,1974,C,6-9,220.0,August 31 1951,Louisiana,ebronro01
1244,Jaime Echenique,2022,2022,C,6-11,258.0,April 27 1997,Trinity Valley CC Wichita State,echenja01
1245,Jarell Eddie,2016,2018,G-F,6-7,218.0,October 30 1991,Virginia Tech,eddieja01
1246,Patrick Eddie,1992,1992,C,6-11,240.0,December 27 1967,Arkansas State University Ole Miss,eddiepa01
1247,Dike Eddleman,1950,1953,F-G,6-3,189.0,December 27 1922,Illinois,eddledi01
1248,Kenton Edelin,1985,1985,F,6-8,205.0,May 24 1962,Virginia,edelike01
1249,Charles Edge,1974,1975,F,6-6,210.0,February 23 1950,LeMoyne-Owen College,edgech01
1250,Bobby Edmonds,1968,1970,F,6-6,220.0,March 8 1941,Tennessee State,edmonbo01
1251,Keith Edmonson,1983,1984,G,6-5,195.0,September 28 1960,Purdue,edmonke01
1252,Tyus Edney,1996,2001,G,5-10,152.0,February 14 1973,UCLA,edneyty01
1253,Anthony Edwards,2021,2023,G,6-4,225.0,August 5 2001,Georgia,edwaran01
1254,Bill Edwards,1994,1994,F,6-8,215.0,September 22 1971,Wright State University,edwarbi01
1255,Blue Edwards,1990,1999,G-F,6-4,200.0,October 31 1965,East Carolina University,edwarbl01
1256,Carsen Edwards,2020,2022,G,5-11,200.0,March 12 1998,Purdue,edwarca01
1257,Corsley Edwards,2005,2005,F,6-9,275.0,March 5 1979,Central Connecticut State University,edwarco01
1258,Doug Edwards,1994,1996,F,6-7,220.0,January 21 1971,Florida State,edwardo01
1259,Franklin Edwards,1982,1988,G,6-1,170.0,February 2 1959,Cleveland State University,edwarfr01
1260,James Edwards,1978,1996,C-F,7-0,225.0,November 22 1955,Washington,edwarja01
1261,Jay Edwards,1990,1990,G,6-4,185.0,January 3 1969,Indiana,edwarja02
1262,John Edwards,2005,2006,C,7-0,275.0,July 31 1981,Kent State University,edwarjo01
1263,Kessler Edwards,2022,2023,F,6-8,215.0,August 9 2000,Pepperdine,edwarke02
1264,Kevin Edwards,1989,2001,G,6-3,190.0,October 30 1965,DePaul,edwarke01
1265,Rob Edwards,2022,2022,G,6-5,205.0,January 20 1997,Cleveland State University Arizona State,edwarro01
1266,Shane Edwards,2014,2014,F,6-7,220.0,May 31 1987,Little Rock,edwarsh01
1267,Vince Edwards,2019,2019,F,6-8,225.0,April 5 1996,Purdue,edwarvi01
1268,Johnny Egan,1962,1972,G,5-11,180.0,January 31 1939,Providence,eganjo01
1269,Lonnie Eggleston,1949,1949,G,6-0,170.0,June 8 1918,Oklahoma State,egglelo01
1270,Bulbs Ehlers,1948,1949,F-G,6-3,198.0,March 10 1923,Purdue,ehlerbu01
1271,Craig Ehlo,1984,1997,G-F,6-6,180.0,August 11 1961,Odessa College Washington State,ehlocr01
1272,Rich Eichhorst,1962,1962,G,6-3,200.0,October 21 1933,SE Missouri State,eichhdi01
1273,Howard Eisley,1995,2006,G,6-2,177.0,December 4 1972,Boston College,eisleho01
1274,Obinna Ekezie,2000,2005,F-C,6-9,270.0,August 22 1975,Maryland,ekeziob01
1275,Khalid El-Amin,2001,2001,G,5-10,200.0,April 25 1979,UConn,elamikh01
1276,Don Eliason,1947,1947,F,6-2,210.0,July 24 1918,Hamline University,eliasdo01
1277,Mario Elie,1991,2001,G-F,6-5,210.0,November 26 1963,American International College,eliema01
1278,CJ Elleby,2021,2022,F,6-6,200.0,June 16 2000,Washington State,ellebcj01
1279,Ray Ellefson,1949,1951,C,6-8,230.0,November 18 1922,West Texas A&M University,ellefra01
1280,Henry Ellenson,2017,2021,F,6-10,240.0,January 13 1997,Marquette,ellenhe01
1281,Wayne Ellington,2010,2022,G,6-4,207.0,November 29 1987,UNC,ellinwa01
1282,Bob Elliott,1979,1981,C-F,6-9,225.0,August 18 1955,Arizona,elliobo01
1283,Sean Elliott,1990,2001,F,6-8,205.0,February 2 1968,Arizona,elliose01
1284,Bo Ellis,1978,1980,F,6-9,197.0,August 8 1954,Marquette,ellisbo02
1285,Boo Ellis,1959,1960,F,6-5,185.0,February 11 1936,Niagara University,ellisbo01
1286,Dale Ellis,1984,2000,G-F,6-7,205.0,August 6 1960,Tennessee,ellisda01
1287,Harold Ellis,1994,1998,G,6-5,200.0,October 7 1970,Morehouse College,ellisha01
1288,Joe Ellis,1967,1974,F-G,6-6,175.0,May 3 1944,San Francisco,ellisjo01
1289,Keon Ellis,2023,2023,G,6-6,175.0,January 8 2000,Florida SouthWestern State College Alabama,elliske01
1290,LaPhonso Ellis,1993,2003,F,6-8,240.0,May 5 1970,Notre Dame,ellisla01
1291,LeRon Ellis,1992,1996,F-C,6-9,225.0,April 28 1969,Kentucky Syracuse,ellisle02
1292,Leroy Ellis,1963,1976,C-F,6-10,210.0,March 10 1940,St. John's,ellisle01
1293,Monta Ellis,2006,2017,G,6-3,185.0,October 26 1985,,ellismo01
1294,Pervis Ellison,1990,2001,F-C,6-9,210.0,April 3 1967,Louisville,ellispe01
1295,Len Elmore,1975,1984,C-F,6-9,220.0,March 28 1952,Maryland,elmorle01
1296,Francisco Elson,2004,2012,C,7-0,235.0,February 28 1976,California,elsonfr01
1297,Darrell Elston,1975,1977,G,6-4,190.0,August 15 1952,UNC,elstoda01
1298,Melvin Ely,2003,2014,C,6-10,260.0,May 2 1978,Fresno State,elyme01
1299,Joel Embiid,2017,2023,C,7-0,280.0,March 16 1994,Kansas,embiijo01
1300,Wayne Embry,1959,1969,C-F,6-8,240.0,March 26 1937,Miami University,embrywa01
1301,Andre Emmett,2005,2012,F,6-5,230.0,August 27 1982,Texas Tech,emmetan01
1302,Ned Endress,1947,1947,F-G,6-2,200.0,March 2 1918,University of Akron,endrene01
1303,Wayne Engelstad,1989,1989,F,6-8,245.0,December 6 1965,University of California Irvine,englewa01
1304,Chris Engler,1983,1988,C,6-11,245.0,March 1 1959,Minnesota Wyoming,englech01
1305,A.J. English,1991,1992,G,6-3,175.0,July 11 1967,Virginia Union University,engliaj01
1306,Alex English,1977,1991,F,6-8,190.0,January 5 1954,South Carolina,englial01
1307,Claude English,1971,1971,F,6-4,185.0,December 26 1946,Rhode Island,englicl01
1308,Jo Jo English,1993,1995,G,6-4,195.0,February 4 1970,South Carolina,englijo01
1309,Kim English,2013,2013,G,6-6,200.0,September 24 1988,Missouri,engliki01
1310,Scott English,1973,1975,F,6-6,205.0,October 20 1950,Texas-El Paso,englisc01
1311,Gene Englund,1950,1950,F-C,6-5,205.0,October 21 1917,Wisconsin,engluge01
1312,James Ennis III,2015,2022,F,6-6,215.0,July 1 1990,Cal State Long Beach,ennisja01
1313,Tyler Ennis,2015,2018,G,6-3,194.0,August 24 1994,Syracuse,ennisty01
1314,Ray Epps,1979,1979,F,6-6,195.0,August 20 1956,Norfolk State,eppsra01
1315,Semih Erden,2011,2012,C,7-0,240.0,July 28 1986,,erdense01
1316,Bo Erias,1958,1958,F,6-3,220.0,July 30 1932,Niagara University,eriasbo01
1317,Keith Erickson,1966,1977,F-G,6-5,195.0,April 19 1944,UCLA,erickke01
1318,Julius Erving,1972,1987,F-G,6-7,210.0,February 22 1950,UMass,ervinju01
1319,Evan Eschmeyer,2000,2003,C,6-11,255.0,May 30 1975,Northwestern,eschmev01
1320,Jack Eskridge,1949,1949,C-F,6-5,200.0,January 21 1924,Kansas,eskrija01
1321,Vincenzo Esposito,1996,1996,G,6-3,198.0,March 1 1969,,esposvi01
1322,Drew Eubanks,2019,2023,F,6-9,245.0,February 1 1997,Oregon State,eubandr01
1323,Billy Evans,1970,1970,G,6-0,170.0,March 3 1947,Boston College,evansbi01
1324,Bob Evans,1950,1950,G,6-2,175.0,May 31 1925,Butler,evansbo01
1325,Brian Evans,1997,1999,F,6-8,220.0,September 13 1973,Indiana,evansbr01
1326,Earl Evans,1980,1980,F,6-8,202.0,November 11 1955,USC UNLV,evansea01
1327,Jacob Evans,2019,2020,G-F,6-4,210.0,June 18 1997,Cincinnati,evansja02
1328,Jawun Evans,2018,2019,G,6-0,185.0,July 26 1996,Oklahoma State,evansja01
1329,Jeremy Evans,2011,2018,F,6-9,200.0,October 24 1987,Western Kentucky,evansje01
1330,Maurice Evans,2002,2012,G,6-5,220.0,November 8 1978,Wichita State Texas,evansma01
1331,Mike Evans,1980,1988,G,6-1,170.0,April 19 1955,Kansas State,evansmi01
1332,Reggie Evans,2003,2015,F,6-8,245.0,May 18 1980,Iowa,evansre01
1333,Tyreke Evans,2010,2019,G-F,6-6,220.0,September 19 1989,Memphis,evansty01
1334,Daniel Ewing,2006,2007,G,6-3,185.0,March 26 1983,Duke,ewingda01
1335,Patrick Ewing,1986,2002,C-F,7-0,240.0,August 5 1962,Georgetown,ewingpa01
1336,Patrick Ewing,2011,2011,F,6-8,235.0,May 20 1984,Indiana Georgetown,ewingpa02
1337,Dante Exum,2015,2021,G,6-5,214.0,July 13 1995,,exumda01
1338,Christian Eyenga,2011,2012,F,6-5,210.0,June 22 1989,,eyengch01
1339,Festus Ezeli,2013,2016,C,6-11,255.0,October 21 1989,Vanderbilt,ezelife01
1340,Johnny Ezersky,1948,1950,F-G,6-3,175.0,March 21 1922,Rhode Island,ezersjo01
1341,Joe Fabel,1947,1947,F-G,6-1,190.0,May 15 1917,Pitt,fabeljo01
1342,John Fairchild,1966,1970,F,6-8,205.0,April 28 1943,Palomar College BYU,faircjo01
1343,Tacko Fall,2020,2022,C,7-6,311.0,December 10 1995,Central Florida,fallta01
1344,Phil Farbman,1949,1949,F,6-1,185.0,April 3 1924,City College of New York,farbmph01
1345,Kenneth Faried,2012,2019,F-C,6-8,220.0,November 19 1989,Morehead State University,farieke01
1346,Dick Farley,1955,1959,G-F,6-4,190.0,April 13 1932,Indiana,farledi01
1347,Jordan Farmar,2007,2017,G,6-2,180.0,November 30 1986,UCLA,farmajo01
1348,Desmon Farmer,2007,2009,G,6-5,220.0,October 7 1981,USC,farmede01
1349,Jim Farmer,1988,1994,G,6-4,190.0,September 23 1964,Alabama,farmeji01
1350,Mike Farmer,1959,1966,F,6-7,210.0,September 26 1936,San Francisco,farmemi01
1351,Tony Farmer,1998,2000,F,6-9,244.0,January 3 1970,San Jose State Nebraska,farmeto01
1352,Bob Faught,1947,1947,F,6-5,185.0,September 2 1921,Notre Dame,faughbo01
1353,Vitor Luiz Faverani,2014,2014,C,6-11,260.0,May 5 1988,,favervi01
1354,Derrick Favors,2011,2022,F-C,6-9,265.0,July 15 1991,Georgia Tech,favorde01
1355,Nick Fazekas,2008,2008,F,6-11,235.0,June 17 1985,Nevada,fazekni01
1356,Dave Fedor,1963,1963,F,6-6,190.0,December 10 1940,Florida State,fedorda01
1357,Bob Feerick,1947,1950,F-G,6-3,190.0,January 2 1920,Santa Clara,feeribo01
1358,Butch Feher,1977,1977,G,6-4,185.0,May 19 1954,Vanderbilt,feherbu01
1359,Jamie Feick,1997,2001,C,6-9,255.0,July 3 1974,Michigan State,feickja01
1360,Ron Feiereisel,1956,1956,G,6-3,185.0,August 6 1931,DePaul,feierro01
1361,George Feigenbaum,1950,1953,G,6-1,185.0,July 2 1928,Kentucky,feigege01
1362,Dave Feitl,1987,1992,C,6-11,235.0,June 8 1962,Texas-El Paso,feitlda01
1363,Kay Felder,2017,2018,G,5-9,176.0,March 29 1995,Oakland,feldeka01
1364,Cristiano Felicio,2016,2021,F-C,6-11,270.0,July 7 1992,,feliccr01
1365,Carrick Felix,2014,2014,G,6-6,201.0,August 17 1990,Arizona State,felixca01
1366,Noel Felix,2006,2006,F,6-9,225.0,October 4 1981,Fresno State,felixno01
1367,Ray Felix,1954,1962,C,6-11,220.0,December 10 1930,Long Island University,felixra01
1368,Raymond Felton,2006,2019,G,6-1,205.0,June 26 1984,UNC,feltora01
1369,Jake Fendley,1952,1953,G,6-0,180.0,June 12 1929,Northwestern,fendlja01
1370,Warren Fenley,1947,1947,F,6-3,190.0,February 8 1922,Manhattan College,fenlewa01
1371,Desmond Ferguson,2004,2004,G-F,6-7,203.0,July 22 1977,Missouri Detroit Mercy,fergude01
1372,Terrance Ferguson,2018,2021,G-F,6-6,190.0,May 17 1998,,fergute01
1373,Rudy Fernandez,2009,2012,G,6-6,185.0,April 4 1985,,fernaru01
1374,Bruno Fernando,2020,2023,F,6-9,240.0,August 15 1998,Maryland,fernabr01
1375,Eric Fernsten,1976,1984,C-F,6-10,205.0,November 1 1953,San Francisco,fernser01
1376,Al Ferrari,1956,1963,G-F,6-4,190.0,July 6 1933,Michigan State,ferraal01
1377,Rolando Ferreira,1989,1989,C,7-1,240.0,May 24 1964,Houston,ferrero01
1378,Duane Ferrell,1989,1999,F-G,6-7,209.0,February 28 1965,Georgia Tech,ferredu01
1379,Yogi Ferrell,2017,2021,G,6-0,178.0,May 9 1993,Indiana,ferreyo01
1380,Arnie Ferrin,1949,1951,F-G,6-2,180.0,July 29 1925,Utah,ferriar01
1381,Bob Ferry,1960,1969,C-F,6-8,230.0,May 31 1937,Saint Louis,ferrybo01
1382,Danny Ferry,1991,2003,F,6-10,230.0,October 17 1966,Duke,ferryda01
1383,Kyrylo Fesenko,2008,2012,C,7-1,288.0,December 24 1986,,fesenky01
1384,Bobby Fields,1972,1972,G,6-3,175.0,October 20 1949,Brandywine Junior College La Salle,fieldbo01
1385,Kenny Fields,1985,1988,F-G,6-5,220.0,February 9 1962,UCLA,fieldke01
1386,Landry Fields,2011,2015,F,6-7,210.0,June 27 1988,Stanford,fieldla01
1387,Ron Filipek,1968,1968,F,6-5,205.0,February 5 1944,Tennessee Technological University,filipro01
1388,Greg Fillmore,1971,1972,C,7-1,240.0,March 7 1947,Cheyney (PA),fillmgr01
1389,Larry Finch,1974,1975,G,6-2,185.0,February 16 1951,Memphis,finchla01
1390,Hank Finkel,1967,1975,C,7-0,240.0,April 20 1942,Dayton,finkeha01
1391,Michael Finley,1996,2010,G-F,6-7,215.0,March 6 1973,Wisconsin,finlemi01
1392,Danny Finn,1953,1955,G,6-1,185.0,May 29 1928,St. John's,finnda01
1393,Dorian Finney-Smith,2017,2023,F,6-7,220.0,May 4 1993,Florida,finnedo01
1394,Matt Fish,1995,1997,C,6-11,235.0,November 18 1969,UNC Wilmington,fishma01
1395,Derek Fisher,1997,2014,G,6-1,200.0,August 9 1974,Little Rock,fishede01
1396,Rick Fisher,1972,1972,F,6-5,215.0,October 27 1948,Trinidad State Junior College Colorado State,fisheri01
1397,Gerald Fitch,2006,2006,G,6-3,188.0,August 12 1982,Kentucky,fitchge01
1398,Malik Fitts,2021,2022,F,6-8,230.0,July 4 1997,South Florida Saint Mary's,fittsma01
1399,Bob Fitzgerald,1947,1949,F-C,6-5,190.0,March 14 1923,Seton Hall,fitzgbo01
1400,Dick Fitzgerald,1947,1948,F,6-2,175.0,November 18 1920,Fordham,fitzgdi01
1401,Marcus Fizer,2001,2006,F,6-9,262.0,August 10 1978,Iowa State,fizerma01
1402,Jerry Fleishman,1947,1953,G-F,6-2,190.0,February 14 1922,NYU,fleisje01
1403,Al Fleming,1978,1978,F,6-7,215.0,April 5 1954,Arizona,flemial01
1404,Ed Fleming,1956,1960,G-F,6-3,189.0,July 25 1933,Niagara University,flemied01
1405,Vern Fleming,1985,1996,G,6-5,185.0,February 4 1962,Georgia,flemive01
1406,Luis Flores,2005,2005,G,6-2,200.0,April 11 1981,Rutgers University Manhattan College,florelu01
1407,Bruce Flowers,1983,1983,F,6-8,225.0,June 13 1957,Notre Dame,flowebr01
1408,Sleepy Floyd,1983,1995,G,6-3,170.0,March 6 1960,Georgetown,floydsl01
1409,Jonny Flynn,2010,2012,G,6-0,185.0,February 6 1989,Syracuse,flynnjo01
1410,Malachi Flynn,2021,2023,G,6-1,175.0,May 10 1998,Washington State San Diego State,flynnma01
1411,Mike Flynn,1976,1978,G,6-2,180.0,July 31 1953,Kentucky,flynnmi01
1412,Larry Fogle,1976,1976,G,6-5,205.0,March 19 1953,Canisius,foglela01
1413,Jack Foley,1963,1963,F,6-3,170.0,April 19 1939,Holy Cross,foleyja01
1414,Isaac Fontaine,2002,2002,G,6-4,210.0,April 16 1975,Washington State,fontais01
1415,Levi Fontaine,1971,1971,G,6-4,190.0,November 1 1948,University of Maryland Eastern Shore,fontale01
1416,Simone Fontecchio,2023,2023,F,6-8,209.0,December 9 1995,,fontesi01
1417,Jeff Foote,2012,2012,C,7-0,265.0,July 14 1987,Cornell,footeje01
1418,Bryn Forbes,2017,2023,G,6-2,205.0,July 23 1993,Michigan State,forbebr01
1419,Gary Forbes,2011,2012,F,6-7,220.0,February 25 1985,Virginia UMass,forbega01
1420,Aleem Ford,2022,2022,F,6-8,220.0,December 22 1997,Wisconsin,fordal03
1421,Alphonso Ford,1994,1995,G,6-1,190.0,October 31 1971,Mississippi Valley State University,fordal01
1422,Alton Ford,2002,2004,F,6-9,275.0,May 29 1981,Houston,fordal02
1423,Bob Ford,1973,1973,F,6-7,228.0,January 26 1950,Purdue,fordbo01
1424,Chris Ford,1973,1982,G-F,6-5,190.0,January 11 1949,Villanova,fordch01
1425,Don Ford,1976,1982,F,6-9,215.0,December 31 1952,New Mexico UC Santa Barbara,forddo01
1426,Jake Ford,1971,1972,G,6-3,180.0,April 29 1945,University of Maryland Eastern Shore,fordja01
1427,Phil Ford,1979,1985,G,6-2,175.0,February 9 1956,UNC,fordph01
1428,Sharrod Ford,2006,2006,F,6-9,225.0,January 9 1982,Clemson,fordsh02
1429,Sherell Ford,1996,1996,F,6-7,210.0,August 26 1972,University of Illinois at Chicago,fordsh01
1430,T.J. Ford,2004,2012,G,6-0,165.0,March 24 1983,Texas,fordtj01
1431,Donnie Forman,1949,1949,G,5-10,175.0,January 17 1926,NYU,formado01
1432,Bayard Forrest,1978,1979,C,6-10,235.0,July 8 1954,Grand Canyon University,forreba01
1433,Trent Forrest,2021,2023,G,6-4,210.0,June 12 1998,Florida State,forretr01
1434,Joseph Forte,2002,2003,G,6-4,194.0,March 23 1981,UNC,fortejo01
1435,Courtney Fortson,2012,2012,G,5-11,185.0,May 23 1988,Arkansas,fortsco01
1436,Danny Fortson,1998,2007,F,6-7,260.0,March 27 1976,Cincinnati,fortsda01
1437,Fred Foster,1969,1977,F,6-5,210.0,March 18 1946,Miami University,fostefr01
1438,Greg Foster,1991,2003,F-C,6-11,240.0,October 3 1968,UCLA Texas-El Paso,fostegr01
1439,Jeff Foster,2000,2012,F-C,6-11,236.0,January 16 1977,Texas State University,fosteje01
1440,Jimmy Foster,1975,1976,G,6-1,175.0,December 16 1951,UConn,fosteja01
1441,Michael Foster Jr.,2023,2023,F,6-8,250.0,January 16 2003,,fostemi02
1442,Rod Foster,1984,1986,G,6-1,160.0,October 10 1960,UCLA,fostero01
1443,Antonis Fotsis,2002,2002,F,6-10,219.0,April 1 1981,,fotsian01
1444,Evan Fournier,2013,2023,G-F,6-7,205.0,October 29 1992,,fournev01
1445,Larry Foust,1951,1962,C-F,6-9,215.0,June 24 1928,La Salle,foustla01
1446,Calvin Fowler,1970,1970,G,6-0,175.0,February 11 1940,Saint Francis University,fowleca01
1447,Jerry Fowler,1952,1952,C,6-8,230.0,June 20 1927,Missouri,fowleje01
1448,Tremaine Fowlkes,2002,2005,F,6-8,220.0,April 11 1976,California Fresno State,fowlktr01
1449,De'Aaron Fox,2018,2023,G,6-3,185.0,December 20 1997,Kentucky,foxde01
1450,Harold Fox,1973,1973,G,6-2,175.0,August 29 1949,Jacksonville University,foxha01
1451,Jim Fox,1968,1977,C-F,6-10,230.0,April 7 1943,South Carolina,foxji01
1452,Rick Fox,1992,2004,F-G,6-7,230.0,July 24 1969,UNC,foxri01
1453,Randy Foye,2007,2017,G,6-4,213.0,September 24 1983,Villanova,foyera01
1454,Adonal Foyle,1998,2009,C,6-10,250.0,March 9 1975,Colgate,foylead01
1455,Richie Frahm,2004,2008,G,6-5,210.0,August 14 1977,Gonzaga,frahmri01
1456,Steve Francis,2000,2008,G,6-3,195.0,February 21 1977,Maryland,francst01
1457,Tellis Frank,1988,1994,F-C,6-10,225.0,April 26 1965,Western Kentucky,frankte01
1458,Nat Frankel,1947,1947,F-G,6-0,195.0,November 3 1913,Brooklyn College,frankna01
1459,Bill Franklin,1973,1976,F,6-7,220.0,October 19 1949,Purdue,frankwi01
1460,Jamaal Franklin,2014,2015,G,6-5,191.0,July 21 1991,San Diego State,frankja01
1461,Robert Franks,2021,2021,F,6-7,225.0,December 18 1996,Washington State,frankro01
1462,Ron Franz,1968,1973,F,6-7,205.0,October 20 1945,Kansas,franzro01
1463,Melvin Frazier,2019,2022,G,6-5,215.0,August 30 1996,Tulane,frazime01
1464,Michael Frazier,2020,2020,G,6-3,200.0,March 8 1994,Florida,frazimi01
1465,Tim Frazier,2015,2022,G,6-0,170.0,November 1 1990,Penn State,fraziti01
1466,Walt Frazier,1968,1980,G,6-4,200.0,March 29 1945,Southern Illinois,fraziwa01
1467,Will Frazier,1966,1969,C-F,6-7,210.0,August 24 1942,Grambling State University,fraziwi01
1468,Anthony Frederick,1989,1992,F,6-7,205.0,December 7 1964,Pepperdine,fredean01
1469,Jimmer Fredette,2012,2019,G,6-2,195.0,February 25 1989,BYU,fredeji01
1470,World B. Free,1976,1988,G,6-2,185.0,December 9 1953,Guilford College,freewo01
1471,Enes Freedom,2012,2022,C,6-10,250.0,May 20 1992,,kanteen01
1472,Joel Freeland,2013,2015,F-C,6-10,250.0,February 7 1987,,freeljo01
1473,Donnie Freeman,1968,1976,G,6-3,185.0,July 18 1944,Illinois,freemdo01
1474,Gary Freeman,1971,1971,F,6-9,210.0,July 25 1948,Oregon State,freemga01
1475,Rod Freeman,1974,1974,F,6-7,225.0,November 5 1950,Vanderbilt,freemro01
1476,Matt Freije,2005,2007,F,6-10,240.0,October 2 1981,Vanderbilt,freijma01
1477,Frido Frey,1947,1947,F,6-2,195.0,October 26 1921,Long Island University,freyfr01
1478,Larry Friend,1958,1958,G-F,6-4,185.0,April 14 1935,California,frienla01
1479,Pat Frink,1969,1969,G,6-4,195.0,February 18 1945,Colorado,frinkpa01
1480,Jim Fritsche,1954,1955,F-C,6-8,210.0,December 10 1931,Hamline University,fritsji01
1481,Channing Frye,2006,2019,C-F,7-0,255.0,May 17 1983,Arizona,fryech01
1482,Bernie Fryer,1974,1975,G,6-3,185.0,December 25 1949,BYU,fryerbe01
1483,Frank Fucarino,1947,1947,F,6-2,175.0,July 24 1920,Long Island University,fucarfr01
1484,Herm Fuetsch,1948,1948,G,6-0,170.0,July 6 1918,,fuetshe01
1485,Joe Fulks,1947,1954,F-C,6-5,190.0,October 26 1921,Murray State,fulksjo01
1486,Carl Fuller,1971,1972,C,6-9,225.0,January 10 1946,Bethune-Cookman College,fulleca01
1487,Hiram Fuller,2004,2004,F,6-9,240.0,May 15 1981,Fresno State,fullehi01
1488,Todd Fuller,1997,2001,C,6-11,255.0,July 25 1974,NC State,fulleto02
1489,Tony Fuller,1981,1981,G,6-4,180.0,September 4 1958,Vincennes University Pepperdine,fulleto01
1490,Markelle Fultz,2018,2023,G,6-3,209.0,May 29 1998,Washington,fultzma01
1491,Lawrence Funderburke,1998,2005,F,6-9,230.0,December 15 1970,Indiana Ohio State,fundela01
1492,Terry Furlow,1977,1980,G-F,6-4,190.0,October 18 1954,Michigan State,furlote01
1493,Bill Gabor,1950,1955,G-F,5-11,170.0,May 13 1922,Syracuse,gaborbi01
1494,Wenyen Gabriel,2020,2023,F,6-9,205.0,March 26 1997,Kentucky,gabriwe01
1495,Dan Gadzuric,2003,2012,C,6-11,240.0,February 2 1978,UCLA,gadzuda01
